target,source,freeze,fold,AUC
isic,ImageNet,freezeFalse,fold1,0.9527204719209004
isic,RadImageNet,freezeFalse,fold1,0.9114259863839056
isic,ImageNet,freezeFalse,fold2,0.9288132584356344
isic,RadImageNet,freezeFalse,fold2,0.8940758705939271
isic,ImageNet,freezeFalse,fold3,0.9498820022878276
isic,RadImageNet,freezeFalse,fold3,0.9066813351030268
isic,ImageNet,freezeFalse,fold4,0.9516889033436361
isic,RadImageNet,freezeFalse,fold4,0.914214217642924
isic,ImageNet,freezeFalse,fold5,0.9262826390309234
isic,RadImageNet,freezeFalse,fold5,0.9131610931159366
isic,ImageNet,freezeTrue,fold1,0.9500404875092346
isic,RadImageNet,freezeTrue,fold1,0.9120233041600723
isic,ImageNet,freezeTrue,fold2,0.902211329992705
isic,RadImageNet,freezeTrue,fold2,0.8958422262983321
isic,ImageNet,freezeTrue,fold3,0.9470371623281466
isic,RadImageNet,freezeTrue,fold3,0.9042676490184041
isic,ImageNet,freezeTrue,fold4,0.9479269221985882
isic,RadImageNet,freezeTrue,fold4,0.9108237323290341
isic,ImageNet,freezeTrue,fold5,0.9098208614819343
isic,RadImageNet,freezeTrue,fold5,0.9075627153278386
pcam-small,ImageNet,freezeFalse,fold1,0.937192878385853
pcam-small,RadImageNet,freezeFalse,fold1,0.8867267349114608
pcam-small,ImageNet,freezeFalse,fold2,0.9475761134027262
pcam-small,RadImageNet,freezeFalse,fold2,0.897344590892978
pcam-small,ImageNet,freezeFalse,fold3,0.9212543637968271
pcam-small,RadImageNet,freezeFalse,fold3,0.8364036791940391
pcam-small,ImageNet,freezeFalse,fold4,0.9482693596209322
pcam-small,RadImageNet,freezeFalse,fold4,0.8712982912258319
pcam-small,ImageNet,freezeFalse,fold5,0.9377620829812064
pcam-small,RadImageNet,freezeFalse,fold5,0.8654724536198641
pcam-small,ImageNet,freezeTrue,fold1,0.9474526441517632
pcam-small,RadImageNet,freezeTrue,fold1,0.8680900141887179
pcam-small,ImageNet,freezeTrue,fold2,0.9334576713608971
pcam-small,RadImageNet,freezeTrue,fold2,0.8730775273113983
pcam-small,ImageNet,freezeTrue,fold3,0.9429787174227569
pcam-small,RadImageNet,freezeTrue,fold3,0.8447637952205819
pcam-small,ImageNet,freezeTrue,fold4,0.9475471728393576
pcam-small,RadImageNet,freezeTrue,fold4,0.836689495793262
pcam-small,ImageNet,freezeTrue,fold5,0.8883083826310918
pcam-small,RadImageNet,freezeTrue,fold5,0.8788029699384281
chest,ImageNet,freezeFalse,fold1,0.9923607767613545
chest,RadImageNet,freezeFalse,fold1,0.9857130120009273
chest,ImageNet,freezeFalse,fold2,0.985247693054881
chest,RadImageNet,freezeFalse,fold2,0.9895359618526204
chest,ImageNet,freezeFalse,fold3,0.9899759422614274
chest,RadImageNet,freezeFalse,fold3,0.9886394012296178
chest,ImageNet,freezeFalse,fold4,0.9857150381484102
chest,RadImageNet,freezeFalse,fold4,0.9897518472257754
chest,ImageNet,freezeFalse,fold5,0.9827959753231492
chest,RadImageNet,freezeFalse,fold5,0.9869822267920093
chest,ImageNet,freezeTrue,fold1,0.9905847108543305
chest,RadImageNet,freezeTrue,fold1,0.9886624226537563
chest,ImageNet,freezeTrue,fold2,0.9874939290917921
chest,RadImageNet,freezeTrue,fold2,0.9900032378177108
chest,ImageNet,freezeTrue,fold3,0.987447970366976
chest,RadImageNet,freezeTrue,fold3,0.9866727765685263
chest,ImageNet,freezeTrue,fold4,0.986809829799401
chest,RadImageNet,freezeTrue,fold4,0.9878519510616846
chest,ImageNet,freezeTrue,fold5,0.9754994124559343
chest,RadImageNet,freezeTrue,fold5,0.9822341363102233
